Variável de Análise,Grupo,Métrica,Tipo,Valor
Linhas de Código (LOC),Alto,Acoplamento Entre Objetos (CBO),Mediana,3.01
Linhas de Código (LOC),Alto,Acoplamento Entre Objetos (CBO),Desvio Padrão,1.07
Linhas de Código (LOC),Alto,Profundidade da Árvore de Herança (DIT),Média,1.26
Linhas de Código (LOC),Alto,Profundidade da Árvore de Herança (DIT),Mediana,1.13
Linhas de Código (LOC),Alto,Profundidade da Árvore de Herança (DIT),Desvio Padrão,1.96
Linhas de Código (LOC),Alto,Falta de Coesão dos Métodos (LCOM),Média,729.64
Linhas de Código (LOC),Alto,Falta de Coesão dos Métodos (LCOM),Mediana,80.53
Linhas de Código (LOC),Alto,Falta de Coesão dos Métodos (LCOM),Desvio Padrão,5598.7
Linhas de Código (LOC),Alto,Linhas de Código (LOC),Média,38.98
Linhas de Código (LOC),Alto,Linhas de Código (LOC),Mediana,26.62
Linhas de Código (LOC),Alto,Linhas de Código (LOC),Desvio Padrão,49.25
Linhas de Código (LOC),Baixo,Acoplamento Entre Objetos (CBO),Média,1.88
Linhas de Código (LOC),Baixo,Acoplamento Entre Objetos (CBO),Mediana,2.0
Linhas de Código (LOC),Baixo,Acoplamento Entre Objetos (CBO),Desvio Padrão,0.84
Linhas de Código (LOC),Baixo,Profundidade da Árvore de Herança (DIT),Média,1.14
Linhas de Código (LOC),Baixo,Profundidade da Árvore de Herança (DIT),Mediana,1.0
Linhas de Código (LOC),Baixo,Profundidade da Árvore de Herança (DIT),Desvio Padrão,0.35
Linhas de Código (LOC),Baixo,Falta de Coesão dos Métodos (LCOM),Média,22.03
Linhas de Código (LOC),Baixo,Falta de Coesão dos Métodos (LCOM),Mediana,1.0
Linhas de Código (LOC),Baixo,Falta de Coesão dos Métodos (LCOM),Desvio Padrão,151.22
Linhas de Código (LOC),Baixo,Linhas de Código (LOC),Média,6.52
Linhas de Código (LOC),Baixo,Linhas de Código (LOC),Mediana,5.0
Linhas de Código (LOC),Baixo,Linhas de Código (LOC),Desvio Padrão,3.19
