Nome,Estrelas,Criado em,Forks,Releases
JavaGuide,148712,2018-05-07T13:27:00Z,0,0
hello-algo,110274,2022-11-04T11:08:34Z,0,9
java-design-patterns,90999,2014-08-09T16:45:18Z,0,0
mall,79491,2018-04-04T01:11:44Z,0,3
advanced-java,77238,2018-10-06T11:38:30Z,0,1
spring-boot,76455,2012-10-19T15:02:57Z,0,300
LeetCodeAnimation,75769,2018-12-06T08:01:22Z,0,0
elasticsearch,71997,2010-02-08T13:20:56Z,0,174
interviews,64015,2017-02-14T18:19:25Z,0,0
Java,61093,2016-07-16T10:21:02Z,0,0
spring-framework,57555,2010-12-08T04:04:45Z,0,327
ghidra,55376,2019-03-01T03:27:48Z,0,42
Stirling-PDF,54184,2023-01-27T18:22:42Z,0,118
guava,50586,2014-05-29T16:23:17Z,0,48
RxJava,48042,2013-01-08T20:11:48Z,0,235
jadx,43185,2013-03-18T17:08:21Z,0,30
dbeaver,42261,2015-10-21T08:26:28Z,0,219
JeecgBoot,41864,2018-11-26T10:40:00Z,0,54
dubbo,40818,2012-06-19T07:56:02Z,0,109
termux-app,39772,2015-10-23T09:42:46Z,0,91
MPAndroidChart,37862,2014-04-25T14:29:47Z,0,44
tutorials,37082,2013-04-29T18:26:36Z,0,0
arthas,36056,2018-08-29T17:15:57Z,0,59
hello-algorithm,35511,2020-05-29T05:47:09Z,0,0
lottie-android,35238,2016-10-06T22:42:42Z,0,56
halo,34977,2018-03-21T12:56:52Z,0,210
glide,34815,2013-07-08T22:52:33Z,0,47
netty,33875,2010-11-09T09:22:21Z,0,0
AndroidUtilCode,33489,2016-07-30T18:18:32Z,0,117
spring-boot-demo,33486,2017-11-10T06:27:29Z,0,0
leetcode,33289,2018-09-16T14:03:03Z,0,21
NewPipe,33226,2015-09-03T23:39:26Z,0,135
easyexcel,33200,2018-02-06T03:14:08Z,0,14
zxing,33156,2011-10-12T14:07:27Z,0,31
selenium,31833,2013-01-14T21:40:56Z,0,102
nacos,30987,2018-06-15T06:49:27Z,0,77
